Name,Author,User Rating,Reviews,Price,Date,Genre
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,1-1-17,Non Fiction
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,7-10-13,Non Fiction
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,10-10-12,Non Fiction
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,10-10-12,Non Fiction
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,6-1-14,Non Fiction
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,8-1-15,Non Fiction
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,12-1-16,Non Fiction
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,5-4-18,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,7-10-13,Non Fiction
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,5-4-18,Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,7-10-13,Non Fiction
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,7-10-13,Non Fiction
Leonardo da Vinci,Walter Isaacson,4.5,3014,21,1-1-17,Non Fiction
